fpr,Transformer,Charlson,Elixhauser,llama,Delpi
0.211350294,0.617868676,0.55709127,0.535951536,0.45544326,0.682454252
0.213307241,0.619806243,0.559741828,0.538352751,0.458910861,0.684176534
0.215264188,0.62280538,0.562392385,0.540753965,0.462384987,0.685468245
0.217221135,0.624973089,0.565042942,0.54315518,0.465859113,0.687190527
0.219178082,0.626480086,0.567693499,0.545556394,0.469333239,0.689128095
0.221135029,0.629264563,0.570344056,0.548080328,0.472807364,0.691269183
0.223091977,0.632508073,0.572994613,0.550669998,0.47628149,0.694626851
0.225048924,0.634017598,0.575645171,0.553259667,0.479755616,0.696447793
0.227005871,0.637674919,0.578295728,0.555849336,0.483229742,0.698815931
0.228962818,0.639769745,0.580946285,0.558439006,0.486703868,0.701399354
0.230919765,0.642841765,0.583596842,0.561028675,0.490780451,0.70247578
0.232876712,0.645209903,0.586247399,0.563618345,0.494873938,0.704628633
0.234833659,0.648439182,0.588897956,0.566208014,0.498967425,0.705274489
0.236790607,0.650446631,0.591548513,0.568797683,0.503060911,0.708288482
0.238747554,0.652346999,0.594199071,0.571387353,0.507154398,0.712163617
0.240704501,0.655974166,0.596849628,0.573977022,0.511079679,0.713455328
0.242661448,0.659203445,0.599500185,0.576566692,0.515599414,0.71517761
0.244618395,0.660279871,0.602150742,0.579156361,0.519804871,0.717330463
0.246575342,0.661571582,0.604801299,0.581746031,0.522143926,0.71926803
0.24853229,0.664179038,0.607451856,0.5843357,0.524482982,0.720990312
0.250489237,0.667168999,0.610102414,0.586925369,0.526689953,0.722927879
0.252446184,0.669843964,0.612752971,0.589515039,0.528835682,0.724434876
0.254403131,0.671252183,0.615403528,0.592104708,0.530981411,0.726803014
0.256360078,0.673196986,0.618054085,0.594694378,0.53312714,0.729171152
0.258317025,0.675780409,0.620704642,0.597284047,0.535272869,0.730678149
0.260273973,0.677933262,0.623355199,0.599873717,0.537418598,0.732185145
0.26223092,0.680947255,0.626005757,0.602463386,0.539564327,0.733261572
0.264187867,0.68292934,0.628656314,0.605053055,0.541710056,0.734768568
0.266144814,0.685037675,0.631306871,0.607642725,0.543855785,0.736275565
0.268101761,0.687190527,0.633957428,0.610232394,0.546001514,0.737782562
0.270058708,0.68934338,0.636607985,0.612822064,0.548147243,0.738643703
0.272015656,0.692255199,0.639258542,0.615411733,0.550292972,0.74058127
0.273972603,0.693649085,0.6419091,0.618001403,0.552142495,0.743164693
0.27592955,0.69561763,0.644559657,0.62031725,0.553298024,0.74467169
0.277886497,0.696878364,0.647210214,0.621661871,0.554575224,0.747255113
0.279843444,0.69877031,0.649860771,0.623006491,0.555879965,0.74919268
0.281800391,0.701161898,0.652511328,0.624351112,0.557249116,0.750699677
0.283757339,0.702691066,0.655161885,0.625695733,0.558618268,0.75285253
0.285714286,0.704413348,0.657812443,0.627040354,0.559987419,0.754144241
0.287671233,0.707482047,0.660463,0.628384975,0.56135657,0.755929192
0.28962818,0.709364909,0.663113557,0.629729596,0.562725721,0.758051455
0.291585127,0.710871905,0.665764114,0.631074216,0.564094873,0.759526372
0.293542074,0.711595281,0.668414671,0.632418837,0.565425223,0.761033369
0.295499022,0.712809473,0.670201246,0.633763458,0.566933035,0.761679225
0.297455969,0.714316469,0.67168262,0.635108079,0.568440847,0.763186222
0.299412916,0.715733836,0.673163995,0.6364527,0.569948658,0.764047363
0.301369863,0.718862457,0.674645369,0.637797321,0.571428571,0.76555436
0.30332681,0.720775027,0.676126743,0.639141941,0.572110337,0.766846071
0.305283757,0.722282024,0.677608118,0.640486562,0.572862018,0.767922497
0.307240705,0.724004306,0.679089492,0.641831183,0.5736137,0.768998924
0.309197652,0.725623094,0.680570866,0.643175804,0.574365381,0.771582347
0.311154599,0.726803014,0.682052241,0.644520425,0.575117062,0.772012917
0.313111546,0.728310011,0.683533615,0.645865046,0.576162392,0.77416577
0.315068493,0.729817008,0.685014989,0.647209666,0.577424279,0.775242196
0.31702544,0.731324004,0.686496364,0.648554287,0.578686167,0.776749193
0.318982387,0.732633508,0.687977738,0.649898908,0.579948054,0.777825619
0.320939335,0.734122713,0.689459112,0.651243529,0.581742441,0.77911733
0.322896282,0.735629709,0.690940487,0.65258815,0.583820468,0.780624327
0.324853229,0.737567277,0.692421861,0.653932771,0.585898496,0.78277718
0.326810176,0.739720129,0.693903235,0.655277391,0.587976524,0.784284177
